文件路径,识别结果,位置,置信度,用时
Camera: 0,睁眼,"[395, 113, 465, 177]",0.37854599952697754,0.022020816802978516
Camera: 0,打哈欠,"[333, 10, 552, 550]",0.4298924207687378,0.022020816802978516
Camera: 0,睁眼,"[502, 118, 545, 172]",0.35227644443511963,0.02022075653076172
Camera: 0,睁眼,"[395, 113, 465, 177]",0.3785895109176636,0.02022075653076172
Camera: 0,打哈欠,"[333, 10, 552, 550]",0.4303571581840515,0.02022075653076172
Camera: 0,睁眼,"[502, 117, 545, 170]",0.35977262258529663,0.02199697494506836
Camera: 0,睁眼,"[396, 113, 465, 176]",0.37732529640197754,0.02199697494506836
Camera: 0,打哈欠,"[335, 1, 552, 549]",0.4374658167362213,0.02199697494506836
Camera: 0,睁眼,"[502, 117, 545, 170]",0.35843703150749207,0.018999338150024414
Camera: 0,睁眼,"[396, 113, 465, 176]",0.3765251636505127,0.018999338150024414
Camera: 0,打哈欠,"[335, 1, 552, 549]",0.4342365562915802,0.018999338150024414
Camera: 0,睁眼,"[502, 117, 545, 170]",0.35846394300460815,0.0169985294342041
Camera: 0,睁眼,"[396, 113, 465, 176]",0.37650883197784424,0.0169985294342041
Camera: 0,打哈欠,"[335, 1, 552, 549]",0.43424805998802185,0.0169985294342041
Camera: 0,睁眼,"[502, 117, 545, 170]",0.358469158411026,0.019999265670776367
Camera: 0,睁眼,"[396, 113, 465, 176]",0.3765091896057129,0.019999265670776367
Camera: 0,打哈欠,"[335, 1, 552, 549]",0.4343620836734772,0.019999265670776367
Camera: 0,睁眼,"[502, 117, 545, 170]",0.35846394300460815,0.016997575759887695
Camera: 0,睁眼,"[396, 113, 465, 176]",0.3764837682247162,0.016997575759887695
Camera: 0,打哈欠,"[335, 1, 552, 549]",0.43432679772377014,0.016997575759887695
Camera: 0,睁眼,"[503, 116, 548, 171]",0.364981085062027,0.021996498107910156
Camera: 0,睁眼,"[397, 112, 467, 176]",0.38228660821914673,0.021996498107910156
Camera: 0,打哈欠,"[338, 5, 554, 544]",0.427625447511673,0.021996498107910156
Camera: 0,睁眼,"[503, 116, 548, 171]",0.36497190594673157,0.016005992889404297
Camera: 0,睁眼,"[397, 112, 467, 176]",0.38221946358680725,0.016005992889404297
Camera: 0,打哈欠,"[338, 5, 554, 544]",0.42765650153160095,0.016005992889404297
Camera: 0,睁眼,"[503, 116, 548, 171]",0.36497601866722107,0.017997264862060547
Camera: 0,睁眼,"[397, 112, 467, 176]",0.3822002112865448,0.017997264862060547
Camera: 0,打哈欠,"[338, 5, 554, 544]",0.4276183545589447,0.017997264862060547
Camera: 0,睁眼,"[503, 116, 548, 171]",0.3649872839450836,0.01982283592224121
Camera: 0,睁眼,"[397, 112, 467, 176]",0.382246732711792,0.01982283592224121
Camera: 0,打哈欠,"[338, 5, 554, 544]",0.42762210965156555,0.01982283592224121
Camera: 0,睁眼,"[503, 116, 548, 171]",0.3649747669696808,0.014998912811279297
Camera: 0,睁眼,"[397, 112, 467, 176]",0.38226011395454407,0.014998912811279297
Camera: 0,打哈欠,"[338, 5, 554, 544]",0.4275859296321869,0.014998912811279297
Camera: 0,睁眼,"[502, 115, 545, 168]",0.3505123555660248,0.0149993896484375
Camera: 0,睁眼,"[396, 112, 465, 174]",0.37712791562080383,0.0149993896484375
Camera: 0,打哈欠,"[335, 2, 551, 548]",0.45576176047325134,0.0149993896484375
Camera: 0,睁眼,"[502, 115, 545, 168]",0.35058310627937317,0.01799917221069336
Camera: 0,睁眼,"[396, 112, 465, 174]",0.3771249055862427,0.01799917221069336
Camera: 0,打哈欠,"[335, 2, 551, 548]",0.45587366819381714,0.01799917221069336
Camera: 0,睁眼,"[502, 115, 545, 168]",0.34970328211784363,0.0160367488861084
Camera: 0,睁眼,"[396, 112, 464, 174]",0.3767962157726288,0.0160367488861084
Camera: 0,打哈欠,"[335, 2, 551, 548]",0.4549742639064789,0.0160367488861084
Camera: 0,睁眼,"[502, 116, 545, 168]",0.35022854804992676,0.01600027084350586
Camera: 0,睁眼,"[396, 112, 464, 174]",0.3792102336883545,0.01600027084350586
Camera: 0,打哈欠,"[335, 1, 551, 548]",0.45369067788124084,0.01600027084350586
Camera: 0,睁眼,"[502, 116, 545, 168]",0.3502548038959503,0.016998291015625
Camera: 0,睁眼,"[396, 112, 464, 174]",0.3792038559913635,0.016998291015625
Camera: 0,打哈欠,"[335, 1, 551, 548]",0.4536394476890564,0.016998291015625
Camera: 0,睁眼,"[502, 115, 546, 168]",0.3508605659008026,0.021993637084960938
Camera: 0,睁眼,"[397, 111, 465, 174]",0.37357190251350403,0.021993637084960938
Camera: 0,打哈欠,"[335, 2, 552, 547]",0.4532434344291687,0.021993637084960938
Camera: 0,睁眼,"[502, 115, 546, 168]",0.35084977746009827,0.017794370651245117
Camera: 0,睁眼,"[397, 111, 465, 174]",0.3735661208629608,0.017794370651245117
Camera: 0,打哈欠,"[335, 2, 552, 547]",0.45319682359695435,0.017794370651245117
Camera: 0,睁眼,"[502, 115, 546, 168]",0.3508671522140503,0.014998674392700195
Camera: 0,睁眼,"[397, 111, 465, 174]",0.37357503175735474,0.014998674392700195
Camera: 0,打哈欠,"[335, 2, 552, 547]",0.45324981212615967,0.014998674392700195
Camera: 0,睁眼,"[502, 115, 546, 168]",0.3508542478084564,0.01699519157409668
Camera: 0,睁眼,"[397, 111, 465, 174]",0.3735946714878082,0.01699519157409668
Camera: 0,打哈欠,"[335, 2, 552, 547]",0.45319780707359314,0.01699519157409668
Camera: 0,睁眼,"[502, 115, 546, 168]",0.35083892941474915,0.01725316047668457
Camera: 0,睁眼,"[397, 111, 465, 174]",0.37358900904655457,0.01725316047668457
Camera: 0,打哈欠,"[335, 2, 552, 547]",0.4532586932182312,0.01725316047668457
Camera: 0,睁眼,"[502, 117, 546, 171]",0.35290950536727905,0.0149993896484375
Camera: 0,睁眼,"[397, 113, 466, 177]",0.38107413053512573,0.0149993896484375
Camera: 0,打哈欠,"[337, 5, 553, 545]",0.43056583404541016,0.0149993896484375
Camera: 0,睁眼,"[502, 117, 546, 171]",0.352908730506897,0.02202153205871582
Camera: 0,睁眼,"[397, 113, 466, 177]",0.38107648491859436,0.02202153205871582
