                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1882,                 2.8949,                 1.5901,                0.29322,                0.53361,                 0.2947,                0.14428,                 1.3397,                 2.8254,                 1.5803,              0.0033294,              0.0033294,              0.0033294
                      2,                 1.1071,                 2.0445,                 1.4923,                0.39711,                0.62159,                0.39273,                0.18014,                 1.3882,                 2.2426,                 1.6509,              0.0065968,              0.0065968,              0.0065968
                      3,                 1.1726,                  1.816,                 1.5274,                 0.2375,                0.35068,                 0.2614,                0.12549,                 1.5649,                 2.3216,                 1.7309,              0.0097982,              0.0097982,              0.0097982
                      4,                 1.1863,                 1.6903,                 1.5285,                0.35513,                0.74418,                0.49794,                0.25579,                 1.3481,                 1.8535,                 1.5442,               0.009703,               0.009703,               0.009703
                      5,                  1.155,                 1.5613,                 1.5055,                 0.3848,                0.75103,                0.54304,                 0.2764,                 1.3713,                 1.8054,                 1.5786,               0.009703,               0.009703,               0.009703
                      6,                 1.1196,                   1.46,                 1.4745,                0.41648,                0.57502,                0.50979,                0.28147,                 1.3194,                 1.6474,                 1.4841,               0.009604,               0.009604,               0.009604
                      7,                 1.0949,                 1.3864,                 1.4542,                0.42604,                0.63148,                0.51097,                0.28041,                 1.3485,                 1.7678,                 1.5515,               0.009505,               0.009505,               0.009505
                      8,                 1.0772,                 1.3452,                 1.4431,                0.43578,                0.82547,                0.57549,                0.31471,                 1.3161,                 1.5956,                 1.5131,               0.009406,               0.009406,               0.009406
                      9,                 1.0578,                 1.2896,                 1.4246,                0.39546,                 0.6158,                0.52569,                0.29675,                 1.3013,                 1.6858,                 1.5163,               0.009307,               0.009307,               0.009307
                     10,                 1.0396,                 1.2551,                 1.4159,                0.48727,                0.84033,                0.60924,                 0.3624,                 1.2524,                 1.4334,                 1.4342,               0.009208,               0.009208,               0.009208
                     11,                 1.0328,                  1.243,                 1.4095,                0.46505,                0.71661,                0.58269,                0.34037,                 1.2804,                 1.4917,                 1.4594,               0.009109,               0.009109,               0.009109
                     12,                 1.0142,                 1.2132,                 1.3995,                0.45832,                0.78026,                0.58184,                0.33426,                 1.2541,                 1.4867,                 1.4426,                0.00901,                0.00901,                0.00901
                     13,                 1.0081,                 1.2029,                 1.3941,                0.44213,                0.78402,                0.58963,                0.35127,                 1.2539,                 1.4336,                 1.4439,               0.008911,               0.008911,               0.008911
                     14,                0.98964,                 1.1621,                 1.3797,                 0.4605,                0.80552,                 0.6198,                0.35909,                 1.2674,                 1.4356,                 1.4581,               0.008812,               0.008812,               0.008812
                     15,                0.98787,                 1.1524,                  1.375,                0.48769,                0.74534,                0.58656,                 0.3593,                 1.2053,                 1.5291,                 1.4366,               0.008713,               0.008713,               0.008713
                     16,                 0.9843,                 1.1387,                 1.3737,                0.50825,                0.86438,                0.64953,                0.39995,                 1.1849,                 1.3585,                 1.3822,               0.008614,               0.008614,               0.008614
                     17,                0.97103,                 1.1115,                 1.3644,                0.55777,                0.86454,                0.64597,                0.38283,                 1.2538,                 1.2987,                 1.4207,               0.008515,               0.008515,               0.008515
                     18,                0.96133,                 1.1068,                 1.3596,                 0.4914,                0.80781,                0.64634,                0.40374,                 1.2124,                 1.3925,                 1.4064,               0.008416,               0.008416,               0.008416
                     19,                0.96199,                 1.0933,                 1.3554,                0.50975,                0.84247,                0.63498,                 0.3882,                 1.2417,                 1.2428,                 1.4049,               0.008317,               0.008317,               0.008317
                     20,                0.95975,                 1.0888,                 1.3534,                0.50366,                0.69821,                0.60048,                0.37397,                 1.2226,                 1.4265,                 1.3928,               0.008218,               0.008218,               0.008218
                     21,                0.95044,                  1.073,                 1.3438,                0.48948,                0.78524,                0.60364,                0.38454,                 1.1829,                 1.4379,                 1.3831,               0.008119,               0.008119,               0.008119
                     22,                0.95124,                 1.0759,                  1.348,                0.48344,                0.80051,                0.59862,                0.37265,                 1.1799,                 1.4249,                 1.3674,                0.00802,                0.00802,                0.00802
                     23,                0.94051,                 1.0465,                 1.3373,                0.50497,                0.70826,                0.61424,                0.38744,                 1.1966,                 1.4919,                  1.391,               0.007921,               0.007921,               0.007921
                     24,                0.93939,                 1.0409,                 1.3389,                 0.4762,                0.80937,                0.63281,                0.39356,                 1.1913,                 1.4445,                 1.3785,               0.007822,               0.007822,               0.007822
                     25,                0.93414,                 1.0378,                 1.3316,                0.51455,                0.73535,                 0.6236,                0.38943,                 1.1733,                 1.4266,                 1.3629,               0.007723,               0.007723,               0.007723
                     26,                0.93655,                 1.0269,                 1.3348,                0.52285,                0.73537,                 0.6249,                0.39682,                 1.1805,                 1.4582,                 1.3788,               0.007624,               0.007624,               0.007624
                     27,                0.93114,                 1.0247,                 1.3304,                0.50285,                0.75356,                0.60629,                0.39177,                 1.1759,                 1.4004,                  1.362,               0.007525,               0.007525,               0.007525
                     28,                0.92638,                 1.0168,                 1.3277,                0.53799,                0.72778,                0.64152,                0.40489,                 1.1854,                 1.3939,                 1.3645,               0.007426,               0.007426,               0.007426
                     29,                0.92168,                  1.009,                 1.3234,                0.50252,                0.81093,                 0.6372,                0.40591,                 1.1948,                 1.3006,                 1.3586,               0.007327,               0.007327,               0.007327
                     30,                0.91674,                 1.0001,                  1.322,                0.48592,                 0.8277,                0.65782,                0.41599,                 1.1784,                 1.3306,                 1.3561,               0.007228,               0.007228,               0.007228
                     31,                0.91045,                0.99294,                 1.3129,                0.49402,                 0.7293,                0.61213,                0.39262,                 1.1561,                 1.3972,                 1.3411,               0.007129,               0.007129,               0.007129
                     32,                0.90876,                0.98436,                 1.3143,                0.52393,                0.77663,                0.63904,                0.41246,                 1.1623,                 1.3858,                 1.3503,                0.00703,                0.00703,                0.00703
                     33,                0.90321,                0.98738,                 1.3114,                0.49927,                0.72461,                0.61369,                0.38999,                 1.1726,                 1.4844,                 1.3497,               0.006931,               0.006931,               0.006931
                     34,                0.90026,                0.96884,                 1.3069,                0.50833,                0.76948,                0.64826,                 0.4175,                 1.1521,                  1.343,                 1.3255,               0.006832,               0.006832,               0.006832
                     35,                0.90443,                0.97184,                 1.3052,                0.47656,                0.71271,                0.61911,                0.40184,                 1.1518,                 1.4523,                 1.3349,               0.006733,               0.006733,               0.006733
                     36,                0.90665,                0.96413,                 1.3087,                0.51332,                0.72998,                0.62194,                0.40378,                 1.1457,                 1.4368,                 1.3277,               0.006634,               0.006634,               0.006634
                     37,                0.89136,                0.95211,                 1.3031,                0.48704,                0.71515,                0.61755,                0.40321,                 1.1327,                 1.5087,                 1.3168,               0.006535,               0.006535,               0.006535
                     38,                0.88815,                0.95011,                 1.3009,                0.51487,                0.73197,                0.64721,                0.42136,                  1.133,                 1.4102,                 1.3084,               0.006436,               0.006436,               0.006436
                     39,                0.89116,                 0.9469,                 1.2998,                0.48227,                0.80098,                0.64463,                0.42093,                 1.1329,                 1.3638,                 1.3158,               0.006337,               0.006337,               0.006337
                     40,                0.88623,                0.93839,                 1.2982,                0.48776,                0.77896,                  0.624,                0.41132,                  1.151,                 1.4359,                 1.3288,               0.006238,               0.006238,               0.006238
                     41,                 0.8794,                0.93368,                 1.2918,                0.51093,                0.72989,                0.63319,                0.41596,                 1.1459,                  1.388,                 1.3197,               0.006139,               0.006139,               0.006139
                     42,                0.87786,                0.92537,                 1.2872,                0.50131,                0.72286,                 0.6289,                0.41734,                 1.1305,                 1.4697,                 1.3083,                0.00604,                0.00604,                0.00604
                     43,                0.87907,                0.92636,                  1.289,                0.47945,                0.79247,                0.64204,                0.42515,                 1.1543,                 1.3904,                 1.3194,               0.005941,               0.005941,               0.005941
                     44,                0.86772,                0.91205,                 1.2841,                0.50789,                0.73361,                 0.6429,                0.42266,                 1.1381,                 1.4142,                 1.3066,               0.005842,               0.005842,               0.005842
                     45,                0.86267,                0.91903,                 1.2815,                0.49887,                0.71816,                0.61347,                  0.404,                 1.1357,                 1.5075,                 1.3159,               0.005743,               0.005743,               0.005743
                     46,                0.86976,                0.91601,                 1.2864,                0.49387,                0.72451,                0.62091,                0.40951,                 1.1249,                 1.4589,                 1.3095,               0.005644,               0.005644,               0.005644
                     47,                0.86515,                0.90887,                 1.2807,                0.49243,                 0.7273,                0.61892,                0.41179,                 1.1187,                 1.4589,                 1.3122,               0.005545,               0.005545,               0.005545
