                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.85741,                0.89961,                 1.2789,                0.49264,                0.71786,                0.60947,                0.40754,                 1.1319,                 1.4517,                 1.3148,               0.005446,               0.005446,               0.005446
                     49,                0.84895,                0.89527,                 1.2693,                0.49501,                0.71289,                0.61356,                0.40766,                 1.1265,                 1.4683,                 1.3075,               0.005347,               0.005347,               0.005347
                     50,                0.85651,                0.89575,                 1.2758,                0.48585,                0.71058,                 0.6275,                0.41084,                 1.1324,                 1.4324,                 1.3076,               0.005248,               0.005248,               0.005248
                     51,                0.84955,                0.88649,                 1.2706,                0.48865,                 0.7223,                0.63417,                0.41577,                 1.1355,                 1.4134,                 1.3063,               0.005149,               0.005149,               0.005149
                     52,                 0.8468,                0.88593,                 1.2687,                0.48755,                0.72263,                0.63351,                0.41369,                 1.1299,                 1.4053,                 1.3029,                0.00505,                0.00505,                0.00505
                     53,                0.83881,                0.87564,                 1.2641,                0.50023,                0.72324,                0.63686,                0.42029,                 1.1263,                 1.4068,                 1.2986,               0.004951,               0.004951,               0.004951
                     54,                0.83523,                0.87674,                 1.2634,                0.49319,                0.72094,                0.63512,                0.42123,                 1.1341,                 1.4201,                 1.3024,               0.004852,               0.004852,               0.004852
                     55,                0.84312,                0.87184,                 1.2628,                0.49044,                0.72262,                0.62727,                0.41593,                 1.1342,                 1.4346,                 1.3021,               0.004753,               0.004753,               0.004753
                     56,                0.84089,                 0.8694,                 1.2659,                0.49653,                0.71968,                0.63194,                0.41783,                 1.1328,                 1.4178,                 1.3002,               0.004654,               0.004654,               0.004654
                     57,                0.83714,                0.86625,                 1.2602,                 0.4976,                0.71461,                0.63263,                0.41702,                  1.126,                 1.4166,                 1.2973,               0.004555,               0.004555,               0.004555
                     58,                0.83065,                0.85591,                 1.2557,                0.49503,                0.71707,                0.63162,                0.41743,                 1.1225,                  1.407,                 1.2948,               0.004456,               0.004456,               0.004456
                     59,                 0.8276,                0.86261,                 1.2565,                0.49562,                0.71188,                0.62783,                0.41875,                 1.1237,                 1.4192,                 1.2949,               0.004357,               0.004357,               0.004357
                     60,                0.82069,                0.84999,                 1.2537,                0.49623,                0.71755,                0.62799,                0.41942,                 1.1222,                 1.4231,                 1.2957,               0.004258,               0.004258,               0.004258
                     61,                 0.8195,                0.84255,                 1.2491,                0.49721,                0.71849,                0.63658,                0.42448,                 1.1199,                 1.4146,                 1.2925,               0.004159,               0.004159,               0.004159
                     62,                0.82825,                0.84859,                 1.2551,                0.49669,                0.71723,                0.64099,                0.42813,                 1.1185,                 1.4038,                  1.289,                0.00406,                0.00406,                0.00406
                     63,                0.81444,                0.84206,                 1.2487,                0.50192,                0.71879,                0.64289,                0.42794,                 1.1165,                 1.4087,                 1.2892,               0.003961,               0.003961,               0.003961
                     64,                0.81759,                0.83101,                 1.2478,                0.49564,                 0.7215,                0.63758,                0.42469,                 1.1162,                 1.4234,                 1.2915,               0.003862,               0.003862,               0.003862
                     65,                0.81409,                 0.8378,                 1.2454,                0.49353,                0.72061,                0.63424,                0.42328,                 1.1198,                 1.4287,                 1.2939,               0.003763,               0.003763,               0.003763
                     66,                0.81223,                0.82055,                 1.2436,                0.49913,                0.71815,                0.63737,                0.42375,                 1.1235,                 1.4212,                 1.2958,               0.003664,               0.003664,               0.003664
                     67,                0.81083,                0.82618,                 1.2431,                0.49644,                 0.7215,                0.63791,                 0.4245,                 1.1255,                 1.4097,                  1.297,               0.003565,               0.003565,               0.003565
                     68,                 0.8036,                0.82982,                  1.239,                 0.4973,                0.72137,                0.63766,                0.42365,                  1.126,                 1.4084,                 1.2966,               0.003466,               0.003466,               0.003466
                     69,                0.80416,                0.81485,                 1.2385,                0.49856,                 0.7195,                0.63506,                0.42127,                 1.1289,                 1.4198,                 1.2991,               0.003367,               0.003367,               0.003367
                     70,                0.80965,                0.82052,                   1.24,                0.49503,                 0.7185,                0.63407,                0.41987,                 1.1312,                 1.4281,                 1.3017,               0.003268,               0.003268,               0.003268
                     71,                0.80595,                0.81036,                 1.2425,                0.49419,                0.71906,                0.63364,                0.41945,                 1.1325,                 1.4327,                 1.3034,               0.003169,               0.003169,               0.003169
                     72,                 0.7997,                 0.8114,                 1.2361,                0.49421,                0.71859,                0.63626,                0.42176,                 1.1319,                 1.4236,                 1.3026,                0.00307,                0.00307,                0.00307
                     73,                0.78992,                0.79877,                 1.2293,                0.49204,                0.71794,                0.63743,                0.42249,                 1.1312,                 1.4186,                 1.3013,               0.002971,               0.002971,               0.002971
                     74,                 0.7964,                0.79115,                 1.2286,                0.49159,                0.71794,                0.63681,                0.42301,                 1.1311,                 1.4167,                 1.3006,               0.002872,               0.002872,               0.002872
                     75,                0.78793,                 0.7936,                 1.2262,                0.49032,                0.71865,                0.63902,                0.42456,                 1.1311,                 1.4147,                 1.2995,               0.002773,               0.002773,               0.002773
                     76,                0.78273,                0.78275,                 1.2277,                0.49079,                0.71878,                0.63961,                0.42598,                  1.132,                 1.4115,                 1.3002,               0.002674,               0.002674,               0.002674
                     77,                0.78052,                0.78123,                 1.2221,                0.49315,                0.71893,                0.63929,                0.42587,                 1.1327,                 1.4108,                 1.3014,               0.002575,               0.002575,               0.002575
                     78,                0.78045,                0.78772,                 1.2243,                0.49469,                0.71785,                0.64158,                0.42764,                 1.1321,                 1.4126,                 1.3014,               0.002476,               0.002476,               0.002476
                     79,                0.78083,                 0.7815,                  1.224,                0.49353,                0.71843,                0.64189,                0.42854,                 1.1343,                 1.4101,                 1.3032,               0.002377,               0.002377,               0.002377
                     80,                0.77021,                0.77311,                 1.2139,                0.49249,                0.71843,                0.64393,                0.43068,                 1.1347,                 1.4096,                 1.3032,               0.002278,               0.002278,               0.002278
                     81,                0.76702,                0.76791,                 1.2131,                0.49218,                0.71843,                0.64345,                0.42861,                 1.1359,                 1.4103,                 1.3039,               0.002179,               0.002179,               0.002179
                     82,                0.76258,                0.75986,                 1.2108,                0.49229,                0.71899,                0.64216,                0.42786,                 1.1368,                 1.4114,                 1.3044,                0.00208,                0.00208,                0.00208
                     83,                0.76331,                0.76209,                 1.2125,                 0.4929,                0.71926,                0.64279,                0.42779,                 1.1372,                 1.4148,                 1.3048,               0.001981,               0.001981,               0.001981
                     84,                0.76986,                0.76276,                 1.2138,                0.49122,                0.72045,                0.64385,                0.42875,                 1.1381,                 1.4167,                 1.3051,               0.001882,               0.001882,               0.001882
                     85,                0.75375,                0.75257,                 1.2101,                0.49064,                0.72206,                0.64467,                 0.4287,                 1.1389,                 1.4176,                 1.3055,               0.001783,               0.001783,               0.001783
                     86,                0.74938,                0.75069,                 1.2036,                0.49167,                0.72159,                0.64566,                0.42934,                 1.1388,                 1.4187,                 1.3052,               0.001684,               0.001684,               0.001684
                     87,                0.75108,                0.75628,                 1.2055,                0.49172,                0.72047,                0.64557,                0.42951,                 1.1388,                 1.4186,                 1.3053,               0.001585,               0.001585,               0.001585
                     88,                0.75179,                0.75076,                 1.2082,                0.49281,                0.72011,                0.64499,                0.42927,                 1.1387,                 1.4181,                  1.305,               0.001486,               0.001486,               0.001486
                     89,                0.74673,                 0.7456,                  1.202,                0.49402,                0.72047,                0.64357,                0.42862,                 1.1392,                 1.4206,                 1.3054,               0.001387,               0.001387,               0.001387
                     90,                0.74198,                 0.7419,                 1.2034,                0.49354,                0.71989,                0.64408,                0.42894,                 1.1391,                 1.4208,                 1.3054,               0.001288,               0.001288,               0.001288
                     91,                0.85501,                0.69598,                 1.3245,                0.49354,                0.72038,                0.64602,                0.42975,                 1.1389,                 1.4196,                 1.3049,               0.001189,               0.001189,               0.001189
                     92,                0.83881,                0.67346,                 1.3135,                0.49341,                0.72066,                0.64749,                0.43107,                 1.1386,                 1.4192,                 1.3045,                0.00109,                0.00109,                0.00109
                     93,                0.82637,                0.66454,                 1.3015,                0.49419,                0.72038,                 0.6464,                0.43208,                 1.1382,                 1.4188,                  1.304,               0.000991,               0.000991,               0.000991
                     94,                  0.819,                0.65922,                 1.2976,                0.49235,                0.72066,                0.64688,                0.43195,                 1.1383,                  1.419,                  1.304,               0.000892,               0.000892,               0.000892
                     95,                 0.8131,                0.65348,                 1.2935,                0.49273,                0.72122,                0.64779,                0.43213,                  1.139,                 1.4191,                 1.3049,               0.000793,               0.000793,               0.000793
                     96,                 0.8087,                0.64694,                 1.2897,                0.49376,                0.72094,                0.64921,                0.43313,                 1.1383,                 1.4196,                 1.3046,               0.000694,               0.000694,               0.000694
                     97,                0.79912,                0.64067,                 1.2808,                0.49391,                0.72122,                 0.6487,                0.43338,                 1.1384,                   1.42,                 1.3046,               0.000595,               0.000595,               0.000595
                     98,                0.79777,                 0.6393,                 1.2827,                0.49485,                0.72099,                 0.6496,                0.43338,                 1.1384,                 1.4217,                 1.3045,               0.000496,               0.000496,               0.000496
                     99,                0.78993,                0.63468,                 1.2757,                 0.4951,                0.72234,                0.64994,                0.43392,                 1.1384,                 1.4222,                 1.3045,               0.000397,               0.000397,               0.000397
                    100,                0.78329,                0.63014,                 1.2743,                0.49438,                0.72227,                0.64897,                 0.4332,                 1.1389,                 1.4234,                 1.3048,               0.000298,               0.000298,               0.000298
