                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.87432,                0.91693,                 1.2974,                0.50054,                0.79919,                 0.6471,                0.42699,                 1.1312,                 1.4071,                 1.3265,               0.006634,               0.006634,               0.006634
                     37,                0.86197,                0.90266,                  1.293,                0.49444,                0.71428,                0.59578,                0.40511,                  1.125,                 1.6301,                 1.3446,               0.006535,               0.006535,               0.006535
                     38,                0.85769,                0.89943,                 1.2914,                0.49751,                0.72199,                0.63372,                0.41797,                 1.1229,                 1.4825,                 1.3385,               0.006436,               0.006436,               0.006436
                     39,                0.86126,                0.89575,                 1.2873,                0.49655,                 0.7245,                0.62263,                0.41722,                 1.1377,                 1.4717,                 1.3535,               0.006337,               0.006337,               0.006337
                     40,                 0.8513,                0.88476,                 1.2842,                0.51119,                0.73404,                0.61337,                0.40948,                 1.1198,                 1.5091,                 1.3381,               0.006238,               0.006238,               0.006238
                     41,                 0.8417,                 0.8824,                 1.2777,                0.50524,                0.73182,                0.62677,                0.41227,                 1.1274,                 1.4811,                 1.3364,               0.006139,               0.006139,               0.006139
                     42,                 0.8481,                0.87606,                 1.2789,                0.51149,                0.73789,                0.63697,                0.42321,                 1.1077,                   1.49,                 1.3234,                0.00604,                0.00604,                0.00604
                     43,                0.84494,                0.87209,                 1.2771,                 0.4968,                0.73254,                0.64152,                0.42511,                  1.122,                 1.4661,                 1.3192,               0.005941,               0.005941,               0.005941
                     44,                0.83922,                0.86063,                 1.2742,                0.49914,                0.73782,                0.64292,                0.43006,                  1.127,                 1.4091,                 1.3145,               0.005842,               0.005842,               0.005842
                     45,                0.82764,                0.87018,                 1.2677,                0.48758,                0.71965,                0.61955,                0.41555,                 1.1128,                 1.5033,                  1.317,               0.005743,               0.005743,               0.005743
                     46,                 0.8367,                0.86827,                 1.2751,                0.49456,                0.72445,                0.62428,                0.41668,                 1.1039,                  1.461,                 1.3081,               0.005644,               0.005644,               0.005644
                     47,                0.83232,                0.86056,                 1.2691,                 0.4948,                0.73388,                0.62237,                0.41442,                 1.1049,                 1.4707,                 1.3069,               0.005545,               0.005545,               0.005545
                     48,                0.81943,                0.85112,                 1.2632,                0.48587,                0.72813,                0.60905,                0.41141,                 1.1079,                 1.5036,                 1.3112,               0.005446,               0.005446,               0.005446
                     49,                0.81813,                0.84359,                 1.2584,                0.49315,                0.71948,                0.59827,                0.40235,                 1.1139,                 1.5448,                   1.32,               0.005347,               0.005347,               0.005347
                     50,                0.82444,                0.84101,                 1.2632,                0.49529,                0.71804,                0.61341,                0.41267,                 1.1266,                 1.5089,                 1.3264,               0.005248,               0.005248,               0.005248
                     51,                  0.818,                0.83895,                 1.2593,                 0.4964,                0.71439,                0.61511,                0.41287,                 1.1091,                 1.5104,                 1.3085,               0.005149,               0.005149,               0.005149
                     52,                0.81659,                0.83938,                 1.2576,                0.49005,                0.72364,                0.60991,                0.41463,                 1.1024,                 1.5182,                  1.302,                0.00505,                0.00505,                0.00505
                     53,                0.80707,                 0.8265,                 1.2523,                0.49416,                0.72415,                0.60613,                 0.4095,                 1.1007,                 1.5138,                 1.3004,               0.004951,               0.004951,               0.004951
                     54,                0.80451,                0.82893,                 1.2521,                0.49215,                0.72101,                0.59924,                0.41199,                 1.1181,                 1.5412,                 1.3208,               0.004852,               0.004852,               0.004852
                     55,                0.80776,                0.82106,                 1.2485,                0.49782,                  0.719,                 0.6001,                0.40949,                 1.1234,                  1.518,                 1.3252,               0.004753,               0.004753,               0.004753
                     56,                0.80341,                0.82002,                 1.2508,                0.49672,                 0.7199,                 0.6041,                0.41296,                 1.1185,                  1.493,                 1.3229,               0.004654,               0.004654,               0.004654
                     57,                0.80382,                 0.8215,                 1.2473,                0.49703,                0.72254,                0.61247,                0.41855,                 1.1176,                 1.4909,                 1.3225,               0.004555,               0.004555,               0.004555
